Brand,Category,Bookings Budget,Bookings Forecast,Final Bookings Actual
MCP PMS,Dollars,3300.0,2860.0,3498.0
MCP PMS,MQLs,574.0,350.0,364.0
MCP PMS,Units,150.0,130.0,159.0
MCP Payments,Dollars,351.0,306.0,558.0
MCP Payments,MQLs,0.0,0.0,0.0
MCP Payments,Units,20.0,17.0,31.0
MCP RCM,Dollars,2832.0,1920.0,1440.0
MCP RCM,MQLs,0.0,0.0,0.0
MCP RCM,Units,6.0,4.0,3.0
New AC Catalyst,Dollars,2397.0,1000.0,0.0
New AC Catalyst,MQLs,0.0,0.0,0.0
New AC Catalyst,Units,3.0,1.0,0.0
New AC Pinnacle,Dollars,266.0,0.0,0.0
New AC Pinnacle,MQLs,0.0,0.0,0.0
New AC Pinnacle,Units,1.0,0.0,0.0
New CM Catalyst,Dollars,877.0,3803.0,3803.0
New CM Catalyst,MQLs,0.0,0.0,0.0
New CM Catalyst,Units,1.0,1.0,1.0
New CM Pinnacle,Dollars,97.0,0.0,0.0
New CM Pinnacle,MQLs,0.0,0.0,0.0
New CM Pinnacle,Units,0.0,0.0,0.0
New Theralink,Dollars,135.0,0.0,0.0
New Theralink,MQLs,0.0,0.0,0.0
New Theralink,Units,3.0,0.0,0.0
PMS Cross Sell,Dollars,4284.0,0.0,0.0
PMS Cross Sell,MQLs,0.0,0.0,0.0
PMS Cross Sell,Units,2.15,0.0,0.0
RCM CX ABA,Dollars,0.0,0.0,0.0
RCM CX ABA,MQLs,0.0,0.0,0.0
RCM CX ABA,Units,0.0,0.0,0.0
RCM CX Ent,Dollars,0.0,0.0,0.0
RCM CX Ent,MQLs,0.0,0.0,0.0
RCM CX Ent,Units,0.0,0.0,0.0
RCM CX Psych,Dollars,0.0,0.0,0.0
RCM CX Psych,MQLs,0.0,0.0,0.0
RCM CX Psych,Units,0.0,0.0,0.0
Sharenote,Dollars,0.0,0.0,0.0
Sharenote,MQLs,0.0,5.0,0.0
Sharenote,Units,0.0,0.0,0.0
Sharenote PMS,Dollars,10933.0,1748.0,5410.0
Sharenote PMS,MQLs,43.0,10.0,139.0
Sharenote PMS,Units,13.0,3.0,5.0
Sharenote RCM,Dollars,0.0,0.0,2250.0
Sharenote RCM,MQLs,0.0,0.0,0.0
Sharenote RCM,Units,0.0,0.0,3.0
Sharenote Wiley,Dollars,900.0,0.0,0.0
Sharenote Wiley,MQLs,0.0,0.0,0.0
Sharenote Wiley,Units,3.0,0.0,0.0
TBH Total Flash,Dollars,0.0,0.0,0.0
TBH Total Flash,MQLs,2940.0,2466.0,2840.0
TBH Total Flash,Units,1039.0,742.0,893.0
TE Amendments,Dollars,3623.0,0.0,3150.0
TE Amendments,MQLs,0.0,0.0,0.0
TE Amendments,Units,18.0,0.0,3.0
TE PMS,Dollars,8608.0,0.0,0.0
TE PMS,MQLs,22.0,10.0,17.0
TE PMS,Units,2.0,0.0,0.0
TE RCM,Dollars,896.0,3000.0,3000.0
TE RCM,MQLs,0.0,0.0,0.0
TE RCM,Units,1.0,1.0,1.0
TN PMS,Dollars,32732.0,24990.0,27734.0
TN PMS,MQLs,1287.0,1180.0,1316.0
TN PMS,Units,334.0,255.0,283.0
TN Payments,Dollars,9539.0,4560.0,6680.0
TN Payments,MQLs,0.0,0.0,0.0
TN Payments,Units,237.0,114.0,167.0
TN RCM,Dollars,5159.0,1290.0,600.0
TN RCM,MQLs,0.0,0.0,0.0
TN RCM,Units,8.0,2.0,2.0
TenEleven,Dollars,0.0,3584.0,3500.0
TenEleven,MQLs,0.0,5.0,8.0
TenEleven,Units,0.0,1.0,1.0
Theralink,Dollars,1590.0,1272.0,1272.0
Theralink,MQLs,118.0,158.0,153.0
Theralink,Units,30.0,24.0,24.0
Theranest,Dollars,0.0,3275.0,7175.0
Theranest,MQLs,0.0,8.0,18.0
Theranest,Units,0.0,6.0,6.0
WA CX Theralink,Dollars,0.0,0.0,0.0
WA CX Theralink,MQLs,0.0,0.0,0.0
WA CX Theralink,Units,0.0,0.0,0.0
WA Catalyst,Dollars,1218.0,0.0,0.0
WA Catalyst,MQLs,0.0,0.0,0.0
WA Catalyst,Units,2.0,0.0,0.0
WA PMS,Dollars,8910.0,2500.0,420.0
WA PMS,MQLs,77.0,77.0,78.0
WA PMS,Units,6.0,3.0,1.0
WA Pinnacle,Dollars,135.0,0.0,0.0
WA Pinnacle,MQLs,0.0,0.0,0.0
WA Pinnacle,Units,0.0,0.0,0.0
WA RCM,Dollars,6548.0,9600.0,5415.0
WA RCM,MQLs,0.0,0.0,0.0
WA RCM,Units,2.0,2.0,2.0
WA Theralink,Dollars,0.0,0.0,0.0
WA Theralink,MQLs,0.0,0.0,0.0
WA Theralink,Units,0.0,0.0,0.0
WebABA,Dollars,0.0,5100.0,0.0
WebABA,MQLs,0.0,0.0,0.0
WebABA,Units,0.0,1.0,0.0
